rehearse	リハーサルをする、暗唱（復唱）する
renege	"破る<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">renege&nbsp;<a href=""https://ejje.weblio.jp/content/on+one"">on one</a><a href=""https://ejje.weblio.jp/content/%27s"">'s</a>&nbsp;<a href=""https://ejje.weblio.jp/content/promise"">promise</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%B4%84%E6%9D%9F%E3%82%92%E7%A0%B4%E3%82%8B"">約束を破る</a>.</span><br></div>"
revoke	取り消す、廃止する、無効にする
adjoining	隣の
pervade	"（匂いや気分が）充満する、（思想や影響が）普及する<div>pervasiveで（形）隅々に広がった、浸透する、充満する<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">The&nbsp;<a href=""https://ejje.weblio.jp/content/spicy"">spicy</a>&nbsp;<a href=""https://ejje.weblio.jp/content/smell"">smell</a>&nbsp;<a href=""https://ejje.weblio.jp/content/pervaded"">pervaded</a>&nbsp;the kitchen.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E8%8A%B3%E3%81%97%E3%81%84"">芳しい</a><a href=""https://ejje.weblio.jp/content/%E3%81%AB%E3%81%8A%E3%81%84"">におい</a>が<a href=""https://ejje.weblio.jp/content/%E5%8F%B0%E6%89%80"">台所</a>に<a href=""https://ejje.weblio.jp/content/%E5%85%85%E6%BA%80%E3%81%97%E3%81%A6"">充満して</a>いた.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Revolutionary+ideas"">Revolutionary ideas</a>&nbsp;<a href=""https://ejje.weblio.jp/content/pervaded"">pervaded</a>&nbsp;the land.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%9D%A9%E5%91%BD%E7%9A%84"">革命的</a><a href=""https://ejje.weblio.jp/content/%E6%80%9D%E6%83%B3"">思想</a>は<a href=""https://ejje.weblio.jp/content/%E5%85%A8%E5%9C%9F"">全土</a>に<a href=""https://ejje.weblio.jp/content/%E5%BA%83%E3%81%BE%E3%81%A3%E3%81%9F"">広まった</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div></div>"
deft	"手際の良い、器用で<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He%27s"">He's</a>&nbsp;deft&nbsp;<a href=""https://ejje.weblio.jp/content/at"">at</a>&nbsp;<a href=""https://ejje.weblio.jp/content/dealing+with"">dealing with</a>&nbsp;people.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E4%BA%BA"">人</a><a href=""https://ejje.weblio.jp/content/%E6%89%B1%E3%81%84"">扱い</a>が<a href=""https://ejje.weblio.jp/content/%E5%B7%A7%E3%81%BF%E3%81%A7"">巧みで</a>ある.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/It%27s"">It's</a>&nbsp;<a href=""https://ejje.weblio.jp/content/very"">very</a>&nbsp;deft&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;him&nbsp;<a href=""https://ejje.weblio.jp/content/to+say"">to say</a>&nbsp;that&nbsp;<a href=""https://ejje.weblio.jp/content/before"">before</a>&nbsp;you can react.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%90%9B"">君</a>が<a href=""https://ejje.weblio.jp/content/%E5%BF%9C%E9%85%AC%E3%81%99%E3%82%8B"">応酬する</a><a href=""https://ejje.weblio.jp/content/%E5%89%8D%E3%81%AB"">前に</a><a href=""https://ejje.weblio.jp/content/%E3%81%9D%E3%82%93%E3%81%AA%E3%81%93%E3%81%A8"">そんなこと</a><a href=""https://ejje.weblio.jp/content/%E3%82%92%E8%A8%80%E3%81%86"">を言う</a>とは<a href=""https://ejje.weblio.jp/content/%E5%BD%BC"">彼</a><a href=""https://ejje.weblio.jp/content/%E3%82%82%E3%81%AA%E3%81%8B"">もなか</a>なか<a href=""https://ejje.weblio.jp/content/%E6%89%8B%E9%9A%9B"">手際</a><a href=""https://ejje.weblio.jp/content/%E3%81%8C%E3%81%84%E3%81%84"">がいい</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
exclusively	独占的に、もっぱら
by all means	是非とも　
exploit	"偉業、功績、搾取する、利活用する、開拓する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/exploited"">exploited</a>&nbsp;his&nbsp;<a href=""https://ejje.weblio.jp/content/employees"">employees</a>&nbsp;(for&nbsp;<a href=""https://ejje.weblio.jp/content/his+own"">his own</a>&nbsp;<a href=""https://ejje.weblio.jp/content/ends"">ends</a>).</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E5%BE%93%E6%A5%AD%E5%93%A1"">従業員</a>たちを(<a href=""https://ejje.weblio.jp/content/%E8%87%AA%E5%88%86%E3%81%AE"">自分の</a><a href=""https://ejje.weblio.jp/content/%E7%9B%AE%E7%9A%84%E3%81%AE"">目的の</a><a href=""https://ejje.weblio.jp/content/%E3%81%9F%E3%82%81%E3%81%AB"">ために</a>)<a href=""https://ejje.weblio.jp/content/%E9%A3%9F%E3%81%84%E7%89%A9"">食い物</a>にした.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">exploit&nbsp;<a href=""https://ejje.weblio.jp/content/mineral+resources"">mineral resources</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%89%B1%E5%B1%B1%E3%82%92%E9%96%8B%E7%99%BA%E3%81%99%E3%82%8B"">鉱山を開発する</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
boast	自慢する、誇る
exemplary	模範的な、見せしめの、典型的な
portray	描く
confluence	合流点、集合、群衆
excel	（自）勝る、優れている、卓越する
virtually	実質的に、事実上
rigor	厳密さ、正確さ
envision, envisage	"心に描く、想像する、把握する<div><img src=""paste-15310fe2dc02656186f53b79cd4872d53d6025b6.jpg""><br></div>"
split out&nbsp;	分裂する、分解する
agile	機敏な、素早い
garner	集めて蓄える、（努力して）獲得する
assemble	"集める、組み立てる<div>assemblyで議会、集会</div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/Many"">Many</a>&nbsp;<a href=""https://ejje.weblio.jp/content/distinguished"">distinguished</a>&nbsp;<a href=""https://ejje.weblio.jp/content/persons"">persons</a>&nbsp;were&nbsp;<a href=""https://ejje.weblio.jp/content/assembled"">assembled</a>&nbsp;<a href=""https://ejje.weblio.jp/content/in+the"">in the</a>&nbsp;garden.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%A4%9A%E6%95%B0%E3%81%AE"">多数の</a><a href=""https://ejje.weblio.jp/content/%E5%90%8D%E5%A3%AB"">名士</a>がその<a href=""https://ejje.weblio.jp/content/%E5%BA%AD%E5%9C%92"">庭園</a>に<a href=""https://ejje.weblio.jp/content/%E9%9B%86%E3%81%BE%E3%81%A3%E3%81%A6"">集まって</a>いた.</span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">assemble&nbsp;<a href=""https://ejje.weblio.jp/content/parts"">parts</a>&nbsp;into a&nbsp;<a href=""https://ejje.weblio.jp/content/machine"">machine</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%83%A8%E5%93%81"">部品</a>を<a href=""https://ejje.weblio.jp/content/%E4%B8%80%E3%81%A4%E3%81%AE"">一つの</a><a href=""https://ejje.weblio.jp/content/%E6%A9%9F%E6%A2%B0"">機械</a>に<a href=""https://ejje.weblio.jp/content/%E7%B5%84%E3%81%BF%E7%AB%8B%E3%81%A6%E3%82%8B"">組み立てる</a>.</span><font color=""#534a42""><br></font><div><img src=""paste-a7d949e6e0562f517070c6356c5cf315560fb77f.jpg""><br></div></div>"
disorder&nbsp;	障害、無秩序、混乱、（動）乱す、調子を狂わせる
lead	鉛
toxic	有毒な
substance	物質、要旨、実体、資産
adverse	"反対の、不利な<div>adversaryで敵、対戦相手<br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">a&nbsp;<a href=""https://ejje.weblio.jp/content/consequence"">consequence</a>&nbsp;adverse&nbsp;<a href=""https://ejje.weblio.jp/content/to+one"">to one</a><a href=""https://ejje.weblio.jp/content/%27s"">'s</a>&nbsp;<a href=""https://ejje.weblio.jp/content/intention"">intention</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%84%8F%E5%9B%B3"">意図</a>と<a href=""https://ejje.weblio.jp/content/%E5%8F%8D%E5%AF%BE%E3%81%AE%E7%B5%90%E6%9E%9C"">反対の結果</a>.</span><br><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">adverse&nbsp;<a href=""https://ejje.weblio.jp/content/circumstances"">circumstances</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E9%80%86%E5%A2%83"">逆境</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">have&nbsp;<a href=""https://ejje.weblio.jp/content/an"">an</a>&nbsp;adverse&nbsp;<a href=""https://ejje.weblio.jp/content/effect+on"">effect on</a>…</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E2%80%A6%E3%81%AB"">…に</a><a href=""https://ejje.weblio.jp/content/%E9%80%86%E5%8A%B9%E6%9E%9C%E3%82%92%E5%8F%8A%E3%81%BC%E3%81%99"">逆効果を及ぼす</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div></div></div>"
vulnerable	傷つきやすい、弱い<div>invulnerableで傷つくことのない、不死身の</div>
contaminate	"汚す、堕落させる<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+air"">The air</a>&nbsp;<a href=""https://ejje.weblio.jp/content/has+been"">has been</a>&nbsp;<a href=""https://ejje.weblio.jp/content/contaminated"">contaminated</a>&nbsp;<a href=""https://ejje.weblio.jp/content/by"">by</a>&nbsp;<a href=""https://ejje.weblio.jp/content/exhaust"">exhaust</a>&nbsp;fumes.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%81%82%E3%81%9F%E3%82%8A%E3%81%AE"">あたりの</a><a href=""https://ejje.weblio.jp/content/%E7%A9%BA%E6%B0%97"">空気</a>は<a href=""https://ejje.weblio.jp/content/%E6%8E%92%E6%B0%97%E3%82%AC%E3%82%B9"">排気ガス</a>で<a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%94%E3%82%8C"">よごれ</a><a href=""https://ejje.weblio.jp/content/%E3%81%A6%E3%81%84%E3%82%8B"">ている</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/The+bay"">The bay</a>&nbsp;<a href=""https://ejje.weblio.jp/content/is"">is</a>&nbsp;<a href=""https://ejje.weblio.jp/content/contaminated"">contaminated</a>&nbsp;with effluents.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">この<a href=""https://ejje.weblio.jp/content/%E6%B9%BE"">湾</a>は(<a href=""https://ejje.weblio.jp/content/%E5%B7%A5%E5%A0%B4"">工場</a>)<a href=""https://ejje.weblio.jp/content/%E5%BB%83%E6%B0%B4"">廃水</a>で<a href=""https://ejje.weblio.jp/content/%E3%82%88%E3%81%94%E3%82%8C"">よごれ</a><a href=""https://ejje.weblio.jp/content/%E3%81%A6%E3%81%84%E3%82%8B"">ている</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
pottery	陶器類、焼き物
glazed	上塗りした、光沢のある<div>glazeはうわ薬、（焼き物に）うわ薬をかける、（窓などに）ガラスをはめる</div>
intact	手をつけていない、そのままで
pose	（動）ポーズをとらせる、（問題などを）引き起こす、持ち出す、困らせる
deteriorate	悪くする、悪化させる
hazard	危険、（動）危険を冒す、思い切ってやってみる
dust	ちり、ほこり
grain	穀物、一粒、ほんの少し
voiceover	ナレーターの声、語り
breach	"違反、絶交、裂け目（動）突破する<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">(a)&nbsp;breach&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/contract"">contract</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%A5%91%E7%B4%84%E9%81%95%E5%8F%8D"">契約違反</a>,&nbsp;<a href=""https://ejje.weblio.jp/content/%E9%81%95%E7%B4%84"">違約</a>.</span><br></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">a&nbsp;breach&nbsp;<a href=""https://ejje.weblio.jp/content/of"">of</a>&nbsp;<a href=""https://ejje.weblio.jp/content/privacy"">privacy</a></span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E3%83%97%E3%83%A9%E3%82%A4%E3%83%90%E3%82%B7%E3%83%BC%E3%81%AE%E4%BE%B5%E5%AE%B3"">プライバシーの侵害</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/We"">We</a>&nbsp;must&nbsp;<a href=""https://ejje.weblio.jp/content/heal+the"">heal the</a>&nbsp;breach&nbsp;<a href=""https://ejje.weblio.jp/content/between"">between</a>&nbsp;our&nbsp;<a href=""https://ejje.weblio.jp/content/two"">two</a>&nbsp;countries.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%88%91%E3%80%85"">我々</a><a href=""https://ejje.weblio.jp/content/%E4%BA%8C%E5%9B%BD%E9%96%93"">二国間</a>の<a href=""https://ejje.weblio.jp/content/%E4%B8%8D%E5%92%8C"">不和</a>を<a href=""https://ejje.weblio.jp/content/%E8%A7%A3%E6%B1%BA"">解決</a><a href=""https://ejje.weblio.jp/content/%E3%81%97%E3%81%AA%E3%81%91%E3%82%8C%E3%81%B0%E3%81%AA%E3%82%89%E3%81%AA%E3%81%84"">しなければならない</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div><div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/We"">We</a>&nbsp;have&nbsp;<a href=""https://ejje.weblio.jp/content/opened"">opened</a>&nbsp;a&nbsp;breach&nbsp;<a href=""https://ejje.weblio.jp/content/in+the"">in the</a>&nbsp;<a href=""https://ejje.weblio.jp/content/US"">US</a>&nbsp;market.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E7%A7%81%E3%81%9F%E3%81%A1%E3%81%AF"">私たちは</a><a href=""https://ejje.weblio.jp/content/%E7%B1%B3%E5%9B%BD"">米国</a><a href=""https://ejje.weblio.jp/content/%E5%B8%82%E5%A0%B4"">市場</a>に<a href=""https://ejje.weblio.jp/content/%E7%AA%81%E7%A0%B4%E5%8F%A3"">突破口</a>を<a href=""https://ejje.weblio.jp/content/%E9%96%8B%E3%81%84%E3%81%9F"">開いた</a>.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><br></span></div>"
snippet	"切れ端、断片、少しの<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/snippets+of+information"">snippets of information</a>&nbsp;[<a href=""https://ejje.weblio.jp/content/knowledge"">knowledge</a>]</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E6%96%AD%E7%89%87%E7%9A%84%E3%81%AA%E6%83%85%E5%A0%B1"">断片的な情報</a>[<a href=""https://ejje.weblio.jp/content/%E7%9F%A5%E8%AD%98"">知識</a>].</span><br></div>"
all it takes is ...	必要なのは...だけである、...で十分である
plumbing	配管
copper	銅
solder	はんだ
brass	真鍮
faucet	蛇口
amble	ゆっくり歩く
toddle	よちよち歩く
swagger	胸を張ってズンズン歩く
trudge	"重い足取りで歩く<div><span style=""font-weight: bold; color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/He"">He</a>&nbsp;<a href=""https://ejje.weblio.jp/content/trudged"">trudged</a>&nbsp;<a href=""https://ejje.weblio.jp/content/20"">20</a>&nbsp;<a href=""https://ejje.weblio.jp/content/miles"">miles</a>&nbsp;through&nbsp;<a href=""https://ejje.weblio.jp/content/deep"">deep</a>&nbsp;snow.</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);"">&nbsp;</span><span style=""color: rgb(83, 74, 66); background-color: rgb(247, 247, 247);""><a href=""https://ejje.weblio.jp/content/%E5%BD%BC%E3%81%AF"">彼は</a><a href=""https://ejje.weblio.jp/content/%E6%B7%B1%E3%81%84%E9%9B%AA"">深い雪</a><a href=""https://ejje.weblio.jp/content/%E3%81%AE%E4%B8%AD"">の中</a>を&nbsp;<a href=""https://ejje.weblio.jp/content/20"">20</a>&nbsp;<a href=""https://ejje.weblio.jp/content/%E3%83%9E%E3%82%A4%E3%83%AB"">マイル</a>も<a href=""https://ejje.weblio.jp/content/%E3%81%A8%E3%81%BC%E3%81%A8%E3%81%BC"">とぼとぼ</a>と<a href=""https://ejje.weblio.jp/content/%E6%AD%A9%E3%81%84%E3%81%A6"">歩いて</a>いった.</span><br></div>"
wobble	ふらつく、震える、がたつく、ふらつきながら歩く
wander	"あてもなく歩き回る、（本題から）逸れる<div><img src=""スクリーンショット 2021-01-09 21.58.38.png""><br></div>"
stagger	よろめく、よろよろ歩く、ぐらつかせる
